scene,n_locations,escape_median,escape_p90,escape_max,frac_loc_over_10pct,band_60_90_median,band_30_60_median,band_10_30_median,band_-10_10_median,band_-90_-10_median,class
office_1,16,6e-06,3.9e-05,6.3e-05,0.0,0.0,0.0,0.0,0.0,1.1e-05,szczelna
apartment_2,142,0.036029,0.263003,0.41138,0.3592,0.0,0.0,0.051138,0.125492,0.01025,nieszczelna bokiem
frl_apartment_5,148,0.230103,0.272359,0.283406,0.8986,1.0,0.696197,0.218162,6.9e-05,2.8e-05,BEZ SUFITU
office_4,76,9e-06,3.5e-05,5.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,szczelna
room_0,57,1.1e-05,3.4e-05,5.8e-05,0.0,0.0,0.0,0.0,0.0,2.7e-05,szczelna
office_0,26,0.000238,0.000734,0.000863,0.0,0.0,0.0,0.0,0.0,0.000574,szczelna
hotel_0,48,0.0,5e-05,0.000114,0.0,0.0,0.0,0.0,0.0,0.0,szczelna
room_1,35,0.0,0.0,3.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,szczelna
office_2,37,0.022714,0.138569,0.263639,0.1622,0.0,9.3e-05,0.043044,0.057908,0.012118,nieszczelna bokiem
room_2,47,1.2e-05,7.9e-05,9.7e-05,0.0,0.0,0.0,0.0,0.0,2.8e-05,szczelna
office_3,62,0.005341,0.021698,0.045215,0.0,0.0,0.0,0.009053,0.016228,9.7e-05,nieszczelna bokiem
frl_apartment_2,125,0.217881,0.268079,0.283552,0.888,0.990315,0.657638,0.203831,0.0,0.0,BEZ SUFITU
frl_apartment_4,127,0.229436,0.277073,0.290265,0.9055,0.997191,0.6916,0.225877,0.0,0.0,BEZ SUFITU
frl_apartment_0,130,0.235966,0.276219,0.285921,0.9308,0.998156,0.713779,0.244125,0.0,0.0,BEZ SUFITU
frl_apartment_1,130,0.235864,0.278871,0.289705,0.9154,1.0,0.71181,0.239637,6.9e-05,0.0,BEZ SUFITU
frl_apartment_3,147,0.233625,0.279044,0.290209,0.8912,1.0,0.711663,0.230023,0.000626,5.6e-05,BEZ SUFITU
apartment_1,176,0.00784,0.170038,0.482841,0.1875,0.0,0.0,0.006495,0.035405,0.000593,nieszczelna bokiem
apartment_0,211,0.0,2.3e-05,0.000127,0.0,0.0,0.0,0.0,0.0,0.0,szczelna
