scene,loc_id,sigma_1,n_raw,n_planned,clamped,x,y,z,probe_seconds
apartment_1,11,0.074689,17,17,,-1.978845,-1.725024,-0.241209,1.23
apartment_1,12,0.069317,15,15,,-1.978845,-1.725024,-0.741209,1.25
apartment_1,13,0.067604,14,14,,-1.978845,-1.725024,-1.241209,1.28
apartment_1,14,0.075156,17,17,,-1.978845,-1.725024,-1.741209,1.26
apartment_1,15,0.071388,16,16,,-1.978845,-1.725024,-2.241209,1.25
apartment_1,16,0.070669,15,15,,-1.978845,-1.725024,-2.741209,1.23
apartment_1,17,0.067688,14,14,,-1.978845,-1.725024,-3.241209,1.24
apartment_1,18,0.064955,13,13,,-1.978845,-1.725024,-3.741209,1.25
apartment_1,19,0.075828,17,17,,-1.978845,-1.725024,-4.241209,1.25
apartment_1,20,0.057579,10,10,,-1.978845,-1.725024,-4.741209,1.26
apartment_1,21,0.075760,17,17,,-1.978845,-1.725024,-5.241209,1.25
apartment_1,22,0.066059,13,13,,-1.978845,-1.725024,-5.741209,1.25
apartment_1,23,0.090719,25,25,,-1.978845,-1.725024,-6.241209,1.26
apartment_1,26,0.070269,15,15,,-1.478845,-1.725024,-0.241209,1.25
apartment_1,27,0.067977,14,14,,-1.478845,-1.725024,-0.741209,1.23
apartment_1,36,0.067288,14,14,,-1.478845,-1.725024,-5.241209,1.21
apartment_1,37,0.069613,15,15,,-1.478845,-1.725024,-5.741209,1.22
apartment_1,38,0.070086,15,15,,-1.478845,-1.725024,-6.241209,1.26
apartment_1,40,0.068779,14,14,,-0.978845,-1.725024,0.758791,1.31
apartment_1,41,0.063020,12,12,,-0.978845,-1.725024,0.258791,1.23
apartment_1,42,0.058243,11,11,,-0.978845,-1.725024,-0.241209,1.23
apartment_1,43,0.061306,12,12,,-0.978845,-1.725024,-0.741209,1.23
apartment_1,52,0.061303,12,12,,-0.978845,-1.725024,-5.241209,1.22
apartment_1,53,0.057626,10,10,,-0.978845,-1.725024,-5.741209,1.23
apartment_1,54,0.066112,13,13,,-0.978845,-1.725024,-6.241209,1.23
apartment_1,57,0.049589,8,8,,-0.478845,-1.725024,0.258791,1.25
apartment_1,58,0.053639,9,9,,-0.478845,-1.725024,-0.241209,1.26
apartment_1,59,0.054180,9,9,,-0.478845,-1.725024,-0.741209,1.25
