scene,loc_id,sigma_1,n_raw,n_planned,clamped,x,y,z,probe_seconds
frl_apartment_0,12,0.069845,15,15,,-0.418586,-1.642777,0.112875,0.97
frl_apartment_0,18,0.063319,12,12,,0.081414,-1.642777,5.112875,0.83
frl_apartment_0,19,0.047529,7,7,,0.081414,-1.642777,4.612875,0.93
frl_apartment_0,20,0.055335,10,10,,0.081414,-1.642777,4.112875,1.02
frl_apartment_0,21,0.066258,13,13,,0.081414,-1.642777,3.612875,1.01
frl_apartment_0,22,0.057234,10,10,,0.081414,-1.642777,3.112875,1.01
frl_apartment_0,23,0.049567,8,8,,0.081414,-1.642777,2.612875,1.00
frl_apartment_0,24,0.065175,13,13,,0.081414,-1.642777,2.112875,1.02
frl_apartment_0,25,0.056632,10,10,,0.081414,-1.642777,1.612875,1.07
frl_apartment_0,26,0.062458,12,12,,0.081414,-1.642777,1.112875,1.07
frl_apartment_0,27,0.059087,11,11,,0.081414,-1.642777,0.612875,1.08
frl_apartment_0,28,0.058656,11,11,,0.081414,-1.642777,0.112875,1.08
frl_apartment_0,29,0.062970,12,12,,0.081414,-1.642777,-0.387125,1.09
frl_apartment_0,30,0.077075,18,18,,0.081414,-1.642777,-0.887125,1.08
frl_apartment_0,31,0.074220,17,17,,0.081414,-1.642777,-1.387125,1.10
frl_apartment_0,32,0.070586,15,15,,0.081414,-1.642777,-1.887125,1.09
frl_apartment_0,33,0.086447,23,23,,0.081414,-1.642777,-2.387125,1.10
frl_apartment_0,34,0.091073,25,25,,0.081414,-1.642777,-2.887125,1.08
frl_apartment_0,36,0.065958,13,13,,0.581414,-1.642777,5.112875,0.70
frl_apartment_0,37,0.047610,7,7,,0.581414,-1.642777,4.612875,0.93
frl_apartment_0,38,0.047561,7,7,,0.581414,-1.642777,4.112875,1.03
frl_apartment_0,39,0.043665,6,6,,0.581414,-1.642777,3.612875,1.02
frl_apartment_0,40,0.046436,7,7,,0.581414,-1.642777,3.112875,1.00
frl_apartment_0,41,0.038090,5,6,min,0.581414,-1.642777,2.612875,1.01
frl_apartment_0,42,0.044322,6,6,,0.581414,-1.642777,2.112875,0.94
frl_apartment_0,43,0.048502,7,7,,0.581414,-1.642777,1.612875,1.03
frl_apartment_0,44,0.052002,8,8,,0.581414,-1.642777,1.112875,1.06
frl_apartment_0,45,0.053223,9,9,,0.581414,-1.642777,0.612875,1.08
frl_apartment_0,46,0.054562,9,9,,0.581414,-1.642777,0.112875,1.08
frl_apartment_0,47,0.061838,12,12,,0.581414,-1.642777,-0.387125,1.07
frl_apartment_0,48,0.064841,13,13,,0.581414,-1.642777,-0.887125,1.08
frl_apartment_0,49,0.065608,13,13,,0.581414,-1.642777,-1.387125,1.10
frl_apartment_0,50,0.066259,13,13,,0.581414,-1.642777,-1.887125,1.08
frl_apartment_0,51,0.082042,20,20,,0.581414,-1.642777,-2.387125,1.07
frl_apartment_0,52,0.090915,25,25,,0.581414,-1.642777,-2.887125,1.06
frl_apartment_0,53,0.062213,12,12,,1.081414,-1.642777,5.112875,0.70
frl_apartment_0,54,0.053028,9,9,,1.081414,-1.642777,4.612875,0.95
