scene,loc_id,sigma_1,n_raw,n_planned,clamped,x,y,z,probe_seconds
hotel_0,10,0.090049,24,24,,-1.860435,-1.075138,-1.427541,1.14
hotel_0,16,0.079051,19,19,,-1.360435,-1.075138,-1.427541,1.16
hotel_0,17,0.093651,26,26,,-1.360435,-1.075138,-1.927541,1.16
hotel_0,23,0.065558,13,13,,-0.860435,-1.075138,-1.427541,1.15
hotel_0,30,0.063334,12,12,,-0.360435,-1.075138,-1.427541,1.17
hotel_0,34,0.055269,10,10,,0.139565,-1.075138,0.072459,1.12
hotel_0,35,0.052665,9,9,,0.139565,-1.075138,-0.427541,1.16
hotel_0,36,0.061201,12,12,,0.139565,-1.075138,-0.927541,1.18
hotel_0,37,0.065344,13,13,,0.139565,-1.075138,-1.427541,1.16
hotel_0,43,0.061954,12,12,,0.639565,-1.075138,-0.927541,1.17
hotel_0,44,0.066132,13,13,,0.639565,-1.075138,-1.427541,1.17
hotel_0,50,0.056278,10,10,,1.139565,-1.075138,-0.927541,1.17
hotel_0,51,0.072137,16,16,,1.139565,-1.075138,-1.427541,1.16
hotel_0,57,0.061691,12,12,,1.639565,-1.075138,-0.927541,1.19
hotel_0,58,0.078064,18,18,,1.639565,-1.075138,-1.427541,1.20
hotel_0,60,0.088832,24,24,,2.139565,-1.075138,1.072459,1.08
hotel_0,61,0.062029,12,12,,2.139565,-1.075138,0.572459,1.16
hotel_0,62,0.059586,11,11,,2.139565,-1.075138,0.072459,1.20
hotel_0,63,0.072771,16,16,,2.139565,-1.075138,-0.427541,1.19
hotel_0,64,0.075398,17,17,,2.139565,-1.075138,-0.927541,1.23
hotel_0,65,0.083856,21,21,,2.139565,-1.075138,-1.427541,1.19
hotel_0,67,0.114598,39,39,,2.639565,-1.075138,1.072459,1.33
hotel_0,68,0.101157,31,31,,2.639565,-1.075138,0.572459,1.13
hotel_0,69,0.109754,36,36,,2.639565,-1.075138,0.072459,1.12
hotel_0,70,0.077405,18,18,,2.639565,-1.075138,-0.927541,1.01
hotel_0,71,0.092748,26,26,,2.639565,-1.075138,-1.427541,1.16
hotel_0,73,0.105381,33,33,,3.139565,-1.075138,1.072459,1.30
hotel_0,74,0.098657,29,29,,3.139565,-1.075138,0.572459,1.14
hotel_0,75,0.096498,28,28,,3.139565,-1.075138,0.072459,1.10
hotel_0,76,0.085573,22,22,,3.139565,-1.075138,-0.927541,1.04
hotel_0,77,0.093083,26,26,,3.139565,-1.075138,-1.427541,1.14
hotel_0,79,0.096564,28,28,,3.639565,-1.075138,0.572459,1.24
hotel_0,80,0.104124,33,33,,3.639565,-1.075138,0.072459,1.12
hotel_0,81,0.085240,22,22,,3.639565,-1.075138,-0.927541,1.04
hotel_0,82,0.089424,24,24,,3.639565,-1.075138,-1.427541,1.13
hotel_0,85,0.091519,25,25,,4.139565,-1.075138,0.572459,1.22
hotel_0,86,0.098541,29,29,,4.139565,-1.075138,0.072459,1.11
hotel_0,87,0.090238,25,25,,4.139565,-1.075138,-0.427541,1.09
hotel_0,88,0.083007,21,21,,4.139565,-1.075138,-0.927541,1.10
hotel_0,89,0.086014,22,22,,4.139565,-1.075138,-1.427541,1.12
hotel_0,92,0.099609,30,30,,4.639565,-1.075138,0.072459,1.21
hotel_0,93,0.101792,31,31,,4.639565,-1.075138,-0.927541,1.07
hotel_0,94,0.087771,23,23,,4.639565,-1.075138,-1.427541,1.13
hotel_0,95,0.116929,41,40,max,4.639565,-1.075138,-1.927541,1.13
hotel_0,98,0.098838,29,29,,5.139565,-1.075138,0.072459,1.19
hotel_0,99,0.102771,32,32,,5.139565,-1.075138,-0.927541,1.05
hotel_0,100,0.096371,28,28,,5.139565,-1.075138,-1.427541,1.14
hotel_0,101,0.121362,44,40,max,5.139565,-1.075138,-1.927541,1.13
