scene,loc_id,sigma_1,n_raw,n_planned,clamped,x,y,z,probe_seconds
office_1,5,0.091782,25,25,,-0.665002,-1.016517,-0.970334,1.36
office_1,10,0.072069,16,16,,-0.165002,-1.016517,-0.470334,1.27
office_1,11,0.068717,14,14,,-0.165002,-1.016517,-0.970334,1.22
office_1,14,0.069424,15,15,,0.334998,-1.016517,0.029666,1.30
office_1,15,0.076623,18,18,,0.334998,-1.016517,-0.470334,1.27
office_1,16,0.070539,15,15,,0.334998,-1.016517,-0.970334,1.26
office_1,20,0.073688,17,17,,0.834998,-1.016517,0.029666,1.31
office_1,22,0.076676,18,18,,0.834998,-1.016517,-0.970334,1.27
office_1,23,0.079750,19,19,,0.834998,-1.016517,-1.470334,1.26
office_1,27,0.071101,15,15,,1.334998,-1.016517,-0.970334,1.26
office_1,28,0.078883,19,19,,1.334998,-1.016517,-1.470334,1.29
office_1,31,0.081224,20,20,,1.834998,-1.016517,-0.970334,1.31
office_1,32,0.086244,22,22,,1.834998,-1.016517,-1.470334,1.30
office_1,33,0.094686,27,27,,1.834998,-1.016517,-1.970334,1.31
office_1,35,0.099528,30,30,,2.334998,-1.016517,-0.970334,1.30
office_1,36,0.086555,23,23,,2.334998,-1.016517,-1.470334,1.32
