scene,loc_id,sigma_1,n_raw,n_planned,clamped,x,y,z,probe_seconds
room_2,5,0.076099,18,18,,0.318101,-2.486792,2.022748,1.45
room_2,6,0.072671,16,16,,0.318101,-2.486792,1.522748,1.46
room_2,9,0.088965,24,24,,0.318101,-2.486792,0.022748,1.43
room_2,13,0.072687,16,16,,0.818101,-2.486792,2.022748,1.44
room_2,14,0.067267,14,14,,0.818101,-2.486792,1.522748,1.42
room_2,15,0.065793,13,13,,0.818101,-2.486792,1.022748,1.43
room_2,16,0.076193,18,18,,0.818101,-2.486792,0.522748,1.42
room_2,17,0.069001,15,15,,0.818101,-2.486792,0.022748,1.43
room_2,18,0.074125,17,17,,0.818101,-2.486792,-0.477252,1.44
room_2,19,0.069530,15,15,,0.818101,-2.486792,-0.977252,1.42
room_2,21,0.058134,10,10,,1.318101,-2.486792,2.022748,1.42
room_2,22,0.060541,11,11,,1.318101,-2.486792,1.522748,1.41
room_2,23,0.069810,15,15,,1.318101,-2.486792,1.022748,1.44
room_2,25,0.066595,14,14,,1.318101,-2.486792,0.022748,1.41
room_2,26,0.067340,14,14,,1.318101,-2.486792,-0.477252,1.41
room_2,27,0.075511,17,17,,1.318101,-2.486792,-0.977252,1.44
room_2,29,0.059694,11,11,,1.818101,-2.486792,2.022748,1.44
room_2,33,0.064736,13,13,,1.818101,-2.486792,0.022748,1.42
room_2,34,0.065318,13,13,,1.818101,-2.486792,-0.477252,1.41
room_2,35,0.087661,23,23,,1.818101,-2.486792,-0.977252,1.43
room_2,37,0.063318,12,12,,2.318101,-2.486792,2.022748,1.41
room_2,42,0.080080,19,19,,2.318101,-2.486792,-0.477252,1.41
room_2,44,0.063081,12,12,,2.818101,-2.486792,2.522748,1.42
room_2,45,0.059039,11,11,,2.818101,-2.486792,2.022748,1.40
room_2,50,0.064672,13,13,,2.818101,-2.486792,-0.477252,1.40
room_2,51,0.064937,13,13,,3.318101,-2.486792,2.522748,1.41
room_2,52,0.060222,11,11,,3.318101,-2.486792,2.022748,1.37
room_2,56,0.061183,12,12,,3.318101,-2.486792,0.022748,1.37
room_2,57,0.062986,12,12,,3.318101,-2.486792,-0.477252,1.41
room_2,58,0.064165,13,13,,3.818101,-2.486792,2.522748,1.40
room_2,59,0.061764,12,12,,3.818101,-2.486792,2.022748,1.40
room_2,63,0.063216,12,12,,3.818101,-2.486792,0.022748,1.40
room_2,64,0.070813,15,15,,3.818101,-2.486792,-0.477252,1.39
room_2,66,0.059033,11,11,,4.318101,-2.486792,2.522748,1.43
room_2,67,0.064654,13,13,,4.318101,-2.486792,2.022748,1.40
room_2,70,0.067734,14,14,,4.318101,-2.486792,0.522748,1.38
room_2,71,0.065995,13,13,,4.318101,-2.486792,0.022748,1.41
room_2,72,0.071512,16,16,,4.318101,-2.486792,-0.477252,1.42
room_2,74,0.067626,14,14,,4.818101,-2.486792,2.522748,1.45
room_2,75,0.066968,14,14,,4.818101,-2.486792,2.022748,1.41
room_2,76,0.061149,12,12,,4.818101,-2.486792,1.522748,1.38
room_2,77,0.066144,13,13,,4.818101,-2.486792,1.022748,1.39
room_2,78,0.064807,13,13,,4.818101,-2.486792,0.522748,1.39
room_2,79,0.064418,13,13,,4.818101,-2.486792,0.022748,1.42
room_2,80,0.065435,13,13,,4.818101,-2.486792,-0.477252,1.43
room_2,84,0.066716,14,14,,5.318101,-2.486792,0.022748,1.46
room_2,85,0.069273,15,15,,5.318101,-2.486792,-0.477252,1.42
